OP      MNEM    MODE    ~       #
E8      EOR     IX1     4       2
E9      ADC     IX1     4       2
EA      ORA     IX1     4       2
EB      ADD     IX1     4       2
EC      JMP     IX1     3       2
ED      JSR     IX1     6       2
EE      LDX     IX1     4       2
EF      STX     IX1     5       2
F0      SUB     IX      3       1
F1      CMP     IX      3       1
F2      SBC     IX      3       1
F3      CPX     IX      3       1
F4      AND     IX      3       1
F5      BIT     IX      3       1
F6      LDA     IX      3       1
F7      STA     IX      4       1
F8      EOR     IX      3       1
F9      ADC     IX      3       1
FA      ORA     IX      3       1
FB      ADD     IX      3       1
FC      JMP     IX      2       1
FD      JSR     IX      5       1
FE      LDX     IX      3       1
FF      STX     IX      4       1
